Home	Away	Goals_home	Goals_away
West_Ham	Everton	1	2
Man_United	Arsenal	1	1
Swansea	Man_City	2	4
West_Brom	Chelsea	3	0
Arsenal	Sunderland	0	0
Arsenal	West_Brom	4	1
Aston_Villa	Burnley	0	1
Chelsea	Sunderland	3	1
Crystal_Palace	Swansea	1	0
Everton	Tottenham	0	1
Hull	Man_United	0	0
Leicester	QPR	5	1
Man_City	Southampton	2	0
Newcastle	West_Ham	2	0
Stoke	Liverpool	6	1
